ID,TYPE,DATE,TIME,REASON,CHIP TEMP C,PCB TEMP C,VOLTS
1,RESET,24-11-17,21:23,UPDI,26.1,26.6,4.28
2,PUMP,24-11-17,21:23,MANUAL,26.6,26.7,4.31
3,PUMP,24-11-17,21:23,MANUAL,26.6,26.7,4.26
4,RESET,24-11-17,21:34,UPDI,26.6,26.9,4.18
